Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' JOHARI ABDUL USTAZ SHARIR LONG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SHAHANIM BINTI MOHAMAD YUSOFF,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) P. SRITHARAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
42,015/29/02,"SEKOLAH KEBANGSAAN SUNGAI PETANI, SUNGAI PETANI",3,541,466,19,48,4,537,3,1,TAMAN MUTIARA,UNDI BIASA
42,015/29/02,"SEKOLAH KEBANGSAAN SUNGAI PETANI, SUNGAI PETANI",4,520,435,41,41,2,519,1,0,TAMAN MUTIARA,UNDI BIASA
43,015/29/03,"SEKOLAH JENIS KEBANGSAAN (CINA) PEKAN LAMA, SUNGAI PETANI",1,253,219,2,31,1,253,0,0,PEKAN LAMA,UNDI BIASA
43,015/29/03,"SEKOLAH JENIS KEBANGSAAN (CINA) PEKAN LAMA, SUNGAI PETANI",2,443,399,3,38,1,441,2,0,PEKAN LAMA,UNDI BIASA
43,015/29/03,"SEKOLAH JENIS KEBANGSAAN (CINA) PEKAN LAMA, SUNGAI PETANI",3,440,403,5,28,1,437,3,0,PEKAN LAMA,UNDI BIASA
43,015/29/03,"SEKOLAH JENIS KEBANGSAAN (CINA) PEKAN LAMA, SUNGAI PETANI",4,426,396,3,18,1,418,8,0,PEKAN LAMA,UNDI BIASA
44,015/29/04,"SEKOLAH KEBANGSAAN SIDAM KIRI, PADANG SERAI",1,313,34,125,140,1,300,13,0,PADANG BULOH,UNDI BIASA
44,015/29/04,"SEKOLAH KEBANGSAAN SIDAM KIRI, PADANG SERAI",2,582,92,296,183,0,571,11,0,PADANG BULOH,UNDI BIASA
45,015/29/05,"SEKOLAH KEBANGSAAN SIDAM KIRI, PADANG SERAI",3,310,44,101,158,0,303,7,0,KAMPUNG SIDAM,UNDI BIASA
45,015/29/05,"SEKOLAH KEBANGSAAN SIDAM KIRI, PADANG SERAI",4,468,88,217,161,1,467,1,0,KAMPUNG SIDAM,UNDI BIASA
45,015/29/05,"SEKOLAH KEBANGSAAN SIDAM KIRI, PADANG SERAI",5,433,87,222,123,0,432,1,0,KAMPUNG SIDAM,UNDI BIASA
46,015/29/06,"SEKOLAH MENENGAH KEBANGSAAN DATO' BIJAYA SETIA, SUNGAI PETANI",1,229,162,12,51,2,227,2,0,KAMPUNG RAJA,UNDI BIASA
46,015/29/06,"SEKOLAH MENENGAH KEBANGSAAN DATO' BIJAYA SETIA, SUNGAI PETANI",2,575,373,67,127,2,569,6,0,KAMPUNG RAJA,UNDI BIASA
46,015/29/06,"SEKOLAH MENENGAH KEBANGSAAN DATO' BIJAYA SETIA, SUNGAI PETANI",3,605,438,57,102,4,601,4,0,KAMPUNG RAJA,UNDI BIASA
46,015/29/06,"SEKOLAH MENENGAH KEBANGSAAN DATO' BIJAYA SETIA, SUNGAI PETANI",4,568,430,59,72,2,563,5,0,KAMPUNG RAJA,UNDI BIASA
46,015/29/06,"SEKOLAH MENENGAH KEBANGSAAN DATO' BIJAYA SETIA, SUNGAI PETANI",5,534,414,51,63,5,533,1,0,KAMPUNG RAJA,UNDI BIASA
