Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' ABD AZIZ HJ. SHEIKH FADZIR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SAIFUDDIN NASUTION ISMAIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ HASSAN RAZAK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
28,018/36/02,"SEKOLAH KEBANGSAAN SUNGAI TAKA, KAMPUNG SUNGAI TAKA",2,408,147,79,175,401,7,0,SUNGAI TAKA,UNDI BIASA
28,018/36/02,"SEKOLAH KEBANGSAAN SUNGAI TAKA, KAMPUNG SUNGAI TAKA",3,378,106,91,180,377,1,0,SUNGAI TAKA,UNDI BIASA
29,018/36/03,"SEKOLAH MENENGAH KEBANGSAAN SELAMA, SERDANG",1,287,128,38,113,279,8,0,SUNGAI TENGAS,UNDI BIASA
29,018/36/03,"SEKOLAH MENENGAH KEBANGSAAN SELAMA, SERDANG",2,490,222,99,168,489,1,0,SUNGAI TENGAS,UNDI BIASA
29,018/36/03,"SEKOLAH MENENGAH KEBANGSAAN SELAMA, SERDANG",3,463,141,126,192,459,4,0,SUNGAI TENGAS,UNDI BIASA
29,018/36/03,"SEKOLAH MENENGAH KEBANGSAAN SELAMA, SERDANG",4,434,126,142,164,432,2,0,SUNGAI TENGAS,UNDI BIASA
30,018/36/04,"SEKOLAH KEBANGSAAN SELAMA, JALAN SERDANG",1,272,56,190,16,262,10,0,SELAMA,UNDI BIASA
30,018/36/04,"SEKOLAH KEBANGSAAN SELAMA, JALAN SERDANG",2,469,132,271,59,462,7,0,SELAMA,UNDI BIASA
30,018/36/04,"SEKOLAH KEBANGSAAN SELAMA, JALAN SERDANG",3,424,81,256,84,421,3,0,SELAMA,UNDI BIASA
31,018/36/05,"SEKOLAH KEBANGSAAN SUNGAI SALLEH, SERDANG",1,266,114,82,54,250,16,0,BATU LINTANG,UNDI BIASA
31,018/36/05,"SEKOLAH KEBANGSAAN SUNGAI SALLEH, SERDANG",2,521,201,155,140,496,25,0,BATU LINTANG,UNDI BIASA
31,018/36/05,"SEKOLAH KEBANGSAAN SUNGAI SALLEH, SERDANG",3,475,167,180,124,471,4,0,BATU LINTANG,UNDI BIASA
32,018/36/06,"SEKOLAH MENENGAH KEBANGSAAN SERDANG, SERDANG",1,265,84,157,22,263,2,0,KAMPUNG EE GUAN,UNDI BIASA
32,018/36/06,"SEKOLAH MENENGAH KEBANGSAAN SERDANG, SERDANG",2,412,103,264,39,406,6,0,KAMPUNG EE GUAN,UNDI BIASA
32,018/36/06,"SEKOLAH MENENGAH KEBANGSAAN SERDANG, SERDANG",3,370,78,231,61,370,0,0,KAMPUNG EE GUAN,UNDI BIASA
33,018/36/07,"SEKOLAH KEBANGSAAN JALAN SELAMA, SERDANG",1,280,66,190,19,275,5,0,PEKAN SERDANG,UNDI BIASA
33,018/36/07,"SEKOLAH KEBANGSAAN JALAN SELAMA, SERDANG",2,543,114,361,56,531,12,0,PEKAN SERDANG,UNDI BIASA
33,018/36/07,"SEKOLAH KEBANGSAAN JALAN SELAMA, SERDANG",3,512,97,352,62,511,1,0,PEKAN SERDANG,UNDI BIASA
33,018/36/07,"SEKOLAH KEBANGSAAN JALAN SELAMA, SERDANG",4,495,81,350,62,493,2,0,PEKAN SERDANG,UNDI BIASA
34,018/36/08,"SEKOLAH KEBANGSAAN DATO' HJ ZAINUDDIN, SERDANG",1,275,132,50,75,257,18,0,BATU 16,UNDI BIASA
34,018/36/08,"SEKOLAH KEBANGSAAN DATO' HJ ZAINUDDIN, SERDANG",2,440,171,129,137,437,3,0,BATU 16,UNDI BIASA
34,018/36/08,"SEKOLAH KEBANGSAAN DATO' HJ ZAINUDDIN, SERDANG",3,419,124,112,178,414,5,0,BATU 16,UNDI BIASA
34,018/36/08,"SEKOLAH KEBANGSAAN DATO' HJ ZAINUDDIN, SERDANG",4,386,116,121,135,372,14,0,BATU 16,UNDI BIASA
35,018/36/09,"SEKOLAH KEBANGSAAN RELAU, SUNGAI JAWI",1,302,173,32,89,294,8,0,RELAU,UNDI BIASA
35,018/36/09,"SEKOLAH KEBANGSAAN RELAU, SUNGAI JAWI",2,454,209,76,162,447,7,0,RELAU,UNDI BIASA
35,018/36/09,"SEKOLAH KEBANGSAAN RELAU, SUNGAI JAWI",3,442,165,85,188,438,4,0,RELAU,UNDI BIASA
35,018/36/09,"SEKOLAH KEBANGSAAN RELAU, SUNGAI JAWI",4,404,130,99,172,401,3,0,RELAU,UNDI BIASA
36,018/36/10,"SEKOLAH KEBANGSAAN SUNGAI KECHIL ILIR, BANDAR BAHARU",1,285,168,57,48,273,12,0,SUNGAI KECHIL ILLIR,UNDI BIASA
36,018/36/10,"SEKOLAH KEBANGSAAN SUNGAI KECHIL ILIR, BANDAR BAHARU",2,577,231,184,129,544,33,0,SUNGAI KECHIL ILLIR,UNDI BIASA
36,018/36/10,"SEKOLAH KEBANGSAAN SUNGAI KECHIL ILIR, BANDAR BAHARU",3,547,209,168,156,533,14,0,SUNGAI KECHIL ILLIR,UNDI BIASA
37,018/36/11,"SEKOLAH KEBANGSAAN AYER PUTEH AYER PUTEH, KAMPUNG",1,289,147,77,58,282,6,1,AYER PUTEH,UNDI BIASA
37,018/36/11,"SEKOLAH KEBANGSAAN AYER PUTEH AYER PUTEH, KAMPUNG",2,325,89,124,111,324,1,0,AYER PUTEH,UNDI BIASA
38,018/36/12,"SEKOLAH KEBANGSAAN LUBOK BUNTAR, LUBOK BUNTAR",1,279,165,42,55,262,17,0,TELOK SERA,UNDI BIASA
38,018/36/12,"SEKOLAH KEBANGSAAN LUBOK BUNTAR, LUBOK BUNTAR",2,309,154,89,66,309,0,0,TELOK SERA,UNDI BIASA
38,018/36/12,"SEKOLAH KEBANGSAAN LUBOK BUNTAR, LUBOK BUNTAR",3,292,113,80,96,289,3,0,TELOK SERA,UNDI BIASA
39,018/36/13,"SEKOLAH JENIS KEBANGSAAN (CINA) POAY CHAI, LUBOK BUNTAR",1,273,98,110,60,268,5,0,PEKAN LUBOK BUNTAR,UNDI BIASA
39,018/36/13,"SEKOLAH JENIS KEBANGSAAN (CINA) POAY CHAI, LUBOK BUNTAR",2,414,131,192,87,410,4,0,PEKAN LUBOK BUNTAR,UNDI BIASA
39,018/36/13,"SEKOLAH JENIS KEBANGSAAN (CINA) POAY CHAI, LUBOK BUNTAR",3,393,99,169,124,392,1,0,PEKAN LUBOK BUNTAR,UNDI BIASA
40,018/36/14,"SEKOLAH KEBANGSAAN PERMATANG KERAT TELUNJUK, BANDAR BAHARU",1,297,162,46,84,292,5,0,KERAT TELUNJOK,UNDI BIASA
40,018/36/14,"SEKOLAH KEBANGSAAN PERMATANG KERAT TELUNJUK, BANDAR BAHARU",2,366,141,81,138,360,6,0,KERAT TELUNJOK,UNDI BIASA
40,018/36/14,"SEKOLAH KEBANGSAAN PERMATANG KERAT TELUNJUK, BANDAR BAHARU",3,354,126,87,137,350,4,0,KERAT TELUNJOK,UNDI BIASA
41,018/36/15,"SEKOLAH KEBANGSAAN SUNGAI KECHIL ULU SUNGAI KECHIL ULU,",1,279,103,116,50,269,10,0,SUNGAI KECHIL ULU,UNDI BIASA
41,018/36/15,"SEKOLAH KEBANGSAAN SUNGAI KECHIL ULU SUNGAI KECHIL ULU,",2,519,157,240,109,506,11,2,SUNGAI KECHIL ULU,UNDI BIASA
41,018/36/15,"SEKOLAH KEBANGSAAN SUNGAI KECHIL ULU SUNGAI KECHIL ULU,",3,474,127,239,105,471,3,0,SUNGAI KECHIL ULU,UNDI BIASA
41,018/36/15,"SEKOLAH KEBANGSAAN SUNGAI KECHIL ULU SUNGAI KECHIL ULU,",4,483,130,205,147,482,1,0,SUNGAI KECHIL ULU,UNDI BIASA
42,018/36/16,PUSAT SUMBER KEMAS KEGIATAN DESA PARIT NIBONG,1,288,153,45,83,281,7,0,PARIT NIBONG,UNDI BIASA
42,018/36/16,PUSAT SUMBER KEMAS KEGIATAN DESA PARIT NIBONG,2,522,195,123,191,509,13,0,PARIT NIBONG,UNDI BIASA
42,018/36/16,PUSAT SUMBER KEMAS KEGIATAN DESA PARIT NIBONG,3,489,163,124,189,476,13,0,PARIT NIBONG,UNDI BIASA
43,018/36/17,"SEKOLAH KEBANGSAAN PERMATANG PASIR, PASIR KAMPUNG PERMATANG",1,288,168,63,51,282,6,0,PERMATANG PASIR,UNDI BIASA
43,018/36/17,"SEKOLAH KEBANGSAAN PERMATANG PASIR, PASIR KAMPUNG PERMATANG",2,482,178,180,117,475,7,0,PERMATANG PASIR,UNDI BIASA
43,018/36/17,"SEKOLAH KEBANGSAAN PERMATANG PASIR, PASIR KAMPUNG PERMATANG",3,450,128,176,141,445,5,0,PERMATANG PASIR,UNDI BIASA
44,018/36/18,"SEKOLAH KEBANGSAAN BANDAR BAHARU, BANDAR BAHARU",1,279,114,111,50,275,4,0,BANDAR BAHARU,UNDI BIASA
44,018/36/18,"SEKOLAH KEBANGSAAN BANDAR BAHARU, BANDAR BAHARU",2,513,167,206,131,504,9,0,BANDAR BAHARU,UNDI BIASA
44,018/36/18,"SEKOLAH KEBANGSAAN BANDAR BAHARU, BANDAR BAHARU",3,487,107,218,160,485,2,0,BANDAR BAHARU,UNDI BIASA
