Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KHAIDIR AHMAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MUHD FAKHRUDIN B ABU HANIPAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SRI HAJI MOHD SHARKAR BIN HAJI SHAMSUDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HAJI MD JUSOH BIN DARUS,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HJ ANUAR TAHIR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang undi dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti (D),Nama Daerah Mengundi,Jenis Undi
26,088/31/10,SK RANTAU PANJANG,2,371,1,0,238,44,59,342,29,0,RANTAU PANJANG,UNDI BIASA
26,088/31/10,SK RANTAU PANJANG,3,340,4,0,225,55,47,331,9,0,RANTAU PANJANG,UNDI BIASA
27,088/31/11,BALAI RAYA KAMPUNG DALA,1,389,4,0,209,104,66,383,6,0,KAMPUNG DALA,UNDI BIASA
28,088/31/12,SK KUALA KAUNG,1,233,1,2,117,32,77,229,4,0,KUALA KAWANG,UNDI BIASA
28,088/31/12,SK KUALA KAUNG,2,344,0,0,139,77,123,339,5,0,KUALA KAWANG,UNDI BIASA
29,088/31/13,SMK LANCHANG,1,270,1,1,100,29,137,268,2,0,BANDAR LANCHANG,UNDI BIASA
29,088/31/13,SMK LANCHANG,2,423,1,0,181,58,182,422,1,0,BANDAR LANCHANG,UNDI BIASA
29,088/31/13,SMK LANCHANG,3,405,0,0,158,62,184,404,1,0,BANDAR LANCHANG,UNDI BIASA
30,088/31/14,SK LUBOK TERUA,1,287,2,1,155,88,34,280,7,0,MEMPATIH,UNDI BIASA
30,088/31/14,SK LUBOK TERUA,2,438,0,0,197,161,74,432,6,0,MEMPATIH,UNDI BIASA
30,088/31/14,SK LUBOK TERUA,3,426,1,0,182,163,72,418,8,0,MEMPATIH,UNDI BIASA
31,088/31/15,SK BOLOK,1,262,3,3,169,46,29,250,12,0,BOLOK,UNDI BIASA
31,088/31/15,SK BOLOK,2,379,3,2,227,88,50,370,9,0,BOLOK,UNDI BIASA
31,088/31/15,SK BOLOK,3,340,0,0,188,84,57,329,11,0,BOLOK,UNDI BIASA
32,088/31/16,SK LKTP BUKIT DAMAR,1,311,0,0,196,96,11,303,8,0,FELDA BUKIT DAMAR,UNDI BIASA
32,088/31/16,SK LKTP BUKIT DAMAR,2,465,1,0,230,179,46,456,8,1,FELDA BUKIT DAMAR,UNDI BIASA
32,088/31/16,SK LKTP BUKIT DAMAR,3,419,1,0,194,171,49,415,4,0,FELDA BUKIT DAMAR,UNDI BIASA
32,088/31/16,SK LKTP BUKIT DAMAR,4,424,1,0,176,190,55,422,2,0,FELDA BUKIT DAMAR,UNDI BIASA
33,088/31/17,SK LKTP LAKUM,1,312,0,1,188,89,20,298,14,0,FELDA LAKUM,UNDI BIASA
33,088/31/17,SK LKTP LAKUM,2,519,0,0,294,157,61,512,7,0,FELDA LAKUM,UNDI BIASA
33,088/31/17,SK LKTP LAKUM,3,469,1,0,223,158,82,464,5,0,FELDA LAKUM,UNDI BIASA
33,088/31/17,SK LKTP LAKUM,4,459,0,0,213,167,75,455,4,0,FELDA LAKUM,UNDI BIASA
34,088/32/01,SK MENTAKAB JAYA,1,308,0,0,135,90,81,306,2,0,SRI SEMANTAN,UNDI BIASA
34,088/32/01,SK MENTAKAB JAYA,2,566,0,0,187,175,199,561,4,1,SRI SEMANTAN,UNDI BIASA
34,088/32/01,SK MENTAKAB JAYA,3,556,4,1,166,180,202,553,3,0,SRI SEMANTAN,UNDI BIASA
35,088/32/02,SK SANGGANG,1,293,2,1,210,60,18,291,2,0,SANGGANG,UNDI BIASA
35,088/32/02,SK SANGGANG,2,469,3,0,257,145,58,463,6,0,SANGGANG,UNDI BIASA
35,088/32/02,SK SANGGANG,3,446,3,0,191,159,93,446,0,0,SANGGANG,UNDI BIASA
36,088/32/03,KOLEJ VOKASIONAL TEMERLOH,1,284,3,1,166,74,30,274,10,0,SONGSANG,UNDI BIASA
36,088/32/03,KOLEJ VOKASIONAL TEMERLOH,2,409,0,0,204,134,67,405,4,0,SONGSANG,UNDI BIASA
36,088/32/03,KOLEJ VOKASIONAL TEMERLOH,3,405,0,0,210,115,78,403,2,0,SONGSANG,UNDI BIASA
36,088/32/03,KOLEJ VOKASIONAL TEMERLOH,4,402,1,0,186,134,75,396,6,0,SONGSANG,UNDI BIASA
37,088/32/04,SK SANGGANG SEBERANG,1,305,0,0,152,123,20,295,10,0,SANGGANG SEBERANG,UNDI BIASA
37,088/32/04,SK SANGGANG SEBERANG,2,537,0,0,230,252,51,533,4,0,SANGGANG SEBERANG,UNDI BIASA
38,088/32/05,SK SUNGAI GAU,1,310,1,0,146,114,39,300,10,0,KAMPUNG GAU,UNDI BIASA
38,088/32/05,SK SUNGAI GAU,2,371,3,0,126,161,76,366,5,0,KAMPUNG GAU,UNDI BIASA
38,088/32/05,SK SUNGAI GAU,3,371,2,0,98,182,88,370,1,0,KAMPUNG GAU,UNDI BIASA
39,088/32/06,SK TELOK IRA,1,361,2,0,170,147,41,360,1,0,TELUK IRA,UNDI BIASA
40,088/32/07,SK BANGAU,1,264,3,0,141,72,45,261,3,0,BANGAU,UNDI BIASA
40,088/32/07,SK BANGAU,2,298,1,0,97,105,95,298,0,0,BANGAU,UNDI BIASA
41,088/32/08,SJK(C) KHEE CHEE,1,264,1,0,73,11,171,256,8,0,BANDAR TEMERLOH,UNDI BIASA
41,088/32/08,SJK(C) KHEE CHEE,2,445,0,0,94,50,299,443,2,0,BANDAR TEMERLOH,UNDI BIASA
41,088/32/08,SJK(C) KHEE CHEE,3,449,1,0,64,39,338,442,7,0,BANDAR TEMERLOH,UNDI BIASA
42,088/32/09,SMK TEMERLOH,1,270,0,0,113,71,80,264,6,0,KAMPUNG BATU,UNDI BIASA
42,088/32/09,SMK TEMERLOH,2,440,2,0,141,137,159,439,1,0,KAMPUNG BATU,UNDI BIASA
42,088/32/09,SMK TEMERLOH,3,430,2,0,94,154,180,430,0,0,KAMPUNG BATU,UNDI BIASA
43,088/32/10,SK JALAN BAHAGIA,1,260,0,0,47,28,183,258,2,0,JALAN BAHAGIA,UNDI BIASA
43,088/32/10,SK JALAN BAHAGIA,2,539,1,0,92,88,354,535,4,0,JALAN BAHAGIA,UNDI BIASA
43,088/32/10,SK JALAN BAHAGIA,3,502,0,0,73,89,340,502,0,0,JALAN BAHAGIA,UNDI BIASA
