Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SRI MOHD JOHARI BIN BAHARUM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' AMIRUDDIN HAMZAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) NORHAFIZA BINTI FADZIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
5,006/05/02,"SEKOLAH KEBANGSAAN FELDA BUKIT TANGGA, BANDAR BUKIT KAYU HITAM",2,433,206,179,43,428,0,5,FELDA BUKIT TANGGA,UNDI BIASA
5,006/05/02,"SEKOLAH KEBANGSAAN FELDA BUKIT TANGGA, BANDAR BUKIT KAYU HITAM",3,420,139,209,71,419,1,0,FELDA BUKIT TANGGA,UNDI BIASA
5,006/05/02,"SEKOLAH KEBANGSAAN FELDA BUKIT TANGGA, BANDAR BUKIT KAYU HITAM",4,398,127,203,66,396,2,0,FELDA BUKIT TANGGA,UNDI BIASA
6,006/05/03,"SEKOLAH KEBANGSAAN DATO'  WAN KEMARA, CHANGLUN",1,303,76,129,85,290,13,0,TEMIN,UNDI BIASA
6,006/05/03,"SEKOLAH KEBANGSAAN DATO'  WAN KEMARA, CHANGLUN",2,313,54,175,83,312,1,0,TEMIN,UNDI BIASA
6,006/05/03,"SEKOLAH KEBANGSAAN DATO'  WAN KEMARA, CHANGLUN",3,291,58,167,65,290,1,0,TEMIN,UNDI BIASA
7,006/05/04,"SEKOLAH KEBANGSAAN FELDA LAKA SELATAN, CHANGLUN",1,296,154,87,35,276,20,0,FELDA LAKA SELATAN,UNDI BIASA
7,006/05/04,"SEKOLAH KEBANGSAAN FELDA LAKA SELATAN, CHANGLUN",2,468,166,188,110,464,4,0,FELDA LAKA SELATAN,UNDI BIASA
7,006/05/04,"SEKOLAH KEBANGSAAN FELDA LAKA SELATAN, CHANGLUN",3,426,137,201,84,422,4,0,FELDA LAKA SELATAN,UNDI BIASA
8,006/05/05,"SEKOLAH KEBANGSAAN BATU 8, CHANGLUN",1,296,135,90,66,291,5,0,FELDA BATU LAPAN,UNDI BIASA
8,006/05/05,"SEKOLAH KEBANGSAAN BATU 8, CHANGLUN",2,429,152,197,75,424,5,0,FELDA BATU LAPAN,UNDI BIASA
8,006/05/05,"SEKOLAH KEBANGSAAN BATU 8, CHANGLUN",3,378,122,182,73,377,1,0,FELDA BATU LAPAN,UNDI BIASA
9,006/05/06,"SEKOLAH JENIS KEBANGSAAN (CINA) YIT MIN, CHANGLUN",1,266,99,132,26,257,9,0,PEKAN BARU CHANGLUN,UNDI BIASA
9,006/05/06,"SEKOLAH JENIS KEBANGSAAN (CINA) YIT MIN, CHANGLUN",2,603,187,324,86,597,6,0,PEKAN BARU CHANGLUN,UNDI BIASA
9,006/05/06,"SEKOLAH JENIS KEBANGSAAN (CINA) YIT MIN, CHANGLUN",3,588,129,342,114,585,3,0,PEKAN BARU CHANGLUN,UNDI BIASA
9,006/05/06,"SEKOLAH JENIS KEBANGSAAN (CINA) YIT MIN, CHANGLUN",4,563,101,354,104,559,4,0,PEKAN BARU CHANGLUN,UNDI BIASA
9,006/05/06,"SEKOLAH JENIS KEBANGSAAN (CINA) YIT MIN, CHANGLUN",5,535,81,324,128,533,2,0,PEKAN BARU CHANGLUN,UNDI BIASA
10,006/05/07,"SEKOLAH JENIS KEBANGSAAN (TAMIL) CHANGLUN, CHANGLUN",1,260,54,174,27,255,5,0,PEKAN LAMA CHANGLUN,UNDI BIASA
11,006/05/08,"SEKOLAH KEBANGSAAN BANDAR BARU SINTOK, SINTOK",1,282,99,102,70,271,11,0,SINTOK,UNDI BIASA
11,006/05/08,"SEKOLAH KEBANGSAAN BANDAR BARU SINTOK, SINTOK",2,448,138,185,118,441,7,0,SINTOK,UNDI BIASA
11,006/05/08,"SEKOLAH KEBANGSAAN BANDAR BARU SINTOK, SINTOK",3,389,102,185,101,388,1,0,SINTOK,UNDI BIASA
11,006/05/08,"SEKOLAH KEBANGSAAN BANDAR BARU SINTOK, SINTOK",4,388,68,180,139,387,1,0,SINTOK,UNDI BIASA
12,006/05/09,"SEKOLAH MENENGAH KEBANGSAAN CHANGLUN, CHANGLUN",1,277,131,64,61,256,21,0,KAMPUNG DARAT,UNDI BIASA
12,006/05/09,"SEKOLAH MENENGAH KEBANGSAAN CHANGLUN, CHANGLUN",2,501,182,186,111,479,22,0,KAMPUNG DARAT,UNDI BIASA
12,006/05/09,"SEKOLAH MENENGAH KEBANGSAAN CHANGLUN, CHANGLUN",3,444,128,165,148,441,3,0,KAMPUNG DARAT,UNDI BIASA
12,006/05/09,"SEKOLAH MENENGAH KEBANGSAAN CHANGLUN, CHANGLUN",4,417,75,223,117,415,2,0,KAMPUNG DARAT,UNDI BIASA
13,006/05/10,"SEKOLAH MENENGAH KEBANGSAAN HOSBA, CHANGLUN",1,301,151,26,113,290,11,0,KUBANG PASU,UNDI BIASA
13,006/05/10,"SEKOLAH MENENGAH KEBANGSAAN HOSBA, CHANGLUN",2,474,132,254,85,471,3,0,KUBANG PASU,UNDI BIASA
14,006/05/11,"SEKOLAH KEBANGSAAN GUAR NAPAI, KODIANG",1,451,171,213,60,444,7,0,GUAR NAPAI,UNDI BIASA
15,006/05/12,"SEKOLAH KEBANGSAAN HOSBA, JITRA",1,301,125,121,48,294,7,0,HUSBA,UNDI BIASA
15,006/05/12,"SEKOLAH KEBANGSAAN HOSBA, JITRA",2,449,121,246,78,445,3,1,HUSBA,UNDI BIASA
16,006/05/13,"SEKOLAH KEBANGSAAN HOSBA, JITRA",3,350,116,102,49,267,4,79,KAMPUNG NAPOH,UNDI BIASA
16,006/05/13,"SEKOLAH KEBANGSAAN HOSBA, JITRA",4,545,199,252,84,535,10,0,KAMPUNG NAPOH,UNDI BIASA
16,006/05/13,"SEKOLAH KEBANGSAAN HOSBA, JITRA",5,464,119,230,110,459,4,1,KAMPUNG NAPOH,UNDI BIASA
17,006/05/14,PERTUBUHAN PELADANG KAWASAN ASUN,1,296,118,80,91,289,7,0,BINJAL,UNDI BIASA
17,006/05/14,PERTUBUHAN PELADANG KAWASAN ASUN,2,430,141,162,120,423,7,0,BINJAL,UNDI BIASA
17,006/05/14,PERTUBUHAN PELADANG KAWASAN ASUN,3,404,77,177,142,396,8,0,BINJAL,UNDI BIASA
18,006/05/15,"SEKOLAH KEBANGSAAN GELONG, JITRA",1,308,115,155,34,304,4,0,KAMPUNG BEMBAN,UNDI BIASA
18,006/05/15,"SEKOLAH KEBANGSAAN GELONG, JITRA",2,503,108,281,109,498,5,0,KAMPUNG BEMBAN,UNDI BIASA
19,006/05/16,"SEKOLAH MENENGAH KEBANGSAAN PULAU NYIOR, JITRA",1,295,125,86,77,288,7,0,PULAU PISANG,UNDI BIASA
19,006/05/16,"SEKOLAH MENENGAH KEBANGSAAN PULAU NYIOR, JITRA",2,445,130,201,110,441,4,0,PULAU PISANG,UNDI BIASA
19,006/05/16,"SEKOLAH MENENGAH KEBANGSAAN PULAU NYIOR, JITRA",3,406,85,197,118,400,6,0,PULAU PISANG,UNDI BIASA
20,006/05/17,"SEKOLAH KEBANGSAAN TUNJANG, JITRA",1,273,83,159,24,266,7,0,PEKAN TUNJANG,UNDI BIASA
20,006/05/17,"SEKOLAH KEBANGSAAN TUNJANG, JITRA",2,429,100,283,38,421,8,0,PEKAN TUNJANG,UNDI BIASA
20,006/05/17,"SEKOLAH KEBANGSAAN TUNJANG, JITRA",3,382,83,245,52,380,2,0,PEKAN TUNJANG,UNDI BIASA
21,006/05/18,"SEKOLAH KEBANGSAAN HAKIM TEH, PULAU TIMBUL",1,257,88,95,62,245,12,0,PULAU TIMBOL,UNDI BIASA
21,006/05/18,"SEKOLAH KEBANGSAAN HAKIM TEH, PULAU TIMBUL",2,593,170,269,147,586,6,1,PULAU TIMBOL,UNDI BIASA
21,006/05/18,"SEKOLAH KEBANGSAAN HAKIM TEH, PULAU TIMBUL",3,550,119,257,173,549,1,0,PULAU TIMBOL,UNDI BIASA
22,006/05/19,BANGUNAN PERSATUAN PELADANG (MADA) D-11 TUNJANG,1,293,73,61,145,279,14,0,PADANG LIMAU,UNDI BIASA
22,006/05/19,BANGUNAN PERSATUAN PELADANG (MADA) D-11 TUNJANG,2,419,83,142,188,413,6,0,PADANG LIMAU,UNDI BIASA
22,006/05/19,BANGUNAN PERSATUAN PELADANG (MADA) D-11 TUNJANG,3,386,62,153,168,383,3,0,PADANG LIMAU,UNDI BIASA
23,006/05/20,"SEKOLAH KEBANGSAAN PULAU NYIOR, JITRA",1,283,118,90,67,275,8,0,PULAU NYIOR,UNDI BIASA
23,006/05/20,"SEKOLAH KEBANGSAAN PULAU NYIOR, JITRA",2,547,167,282,96,545,2,0,PULAU NYIOR,UNDI BIASA
23,006/05/20,"SEKOLAH KEBANGSAAN PULAU NYIOR, JITRA",3,500,111,265,122,498,2,0,PULAU NYIOR,UNDI BIASA
24,006/05/21,"SEKOLAH MENENGAH KEBANGSAAN PULAU NYIOR, JITRA",4,301,106,132,61,299,2,0,KAMPUNG PULAU KETAM,UNDI BIASA
24,006/05/21,"SEKOLAH MENENGAH KEBANGSAAN PULAU NYIOR, JITRA",5,431,115,225,91,431,0,0,KAMPUNG PULAU KETAM,UNDI BIASA
25,006/05/22,"SEKOLAH JENIS KEBANGSAAN. (CINA) HWA MIN, TUNJANG",1,289,97,70,108,275,14,0,GELONG RAMBAI,UNDI BIASA
25,006/05/22,"SEKOLAH JENIS KEBANGSAAN. (CINA) HWA MIN, TUNJANG",2,339,103,115,116,334,5,0,GELONG RAMBAI,UNDI BIASA
