Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ SHAHRUL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) SITARUNISAH BINTI AB KADIR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SRI HASAN BIN ARIFIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
15,091/40/11,SMK SELANCAR,4,347,106,80,160,346,1,0,FELDA SELANCAR I,UNDI BIASA
15,091/40/11,SMK SELANCAR,5,365,138,74,148,360,5,0,FELDA SELANCAR I,UNDI BIASA
16,091/41/01,SK BUKIT RIDAN,1,278,153,79,40,272,6,0,MUADZAM SHAH,UNDI BIASA
16,091/41/01,SK BUKIT RIDAN,2,432,133,76,219,428,4,0,MUADZAM SHAH,UNDI BIASA
16,091/41/01,SK BUKIT RIDAN,3,417,134,75,202,411,6,0,MUADZAM SHAH,UNDI BIASA
16,091/41/01,SK BUKIT RIDAN,4,396,150,82,164,396,0,0,MUADZAM SHAH,UNDI BIASA
16,091/41/01,SK BUKIT RIDAN,5,390,120,86,183,389,1,0,MUADZAM SHAH,UNDI BIASA
16,091/41/01,SK BUKIT RIDAN,6,370,138,97,133,368,2,0,MUADZAM SHAH,UNDI BIASA
16,091/41/01,SK BUKIT RIDAN,7,378,135,118,121,374,4,0,MUADZAM SHAH,UNDI BIASA
16,091/41/01,SK BUKIT RIDAN,8,423,165,120,135,420,3,0,MUADZAM SHAH,UNDI BIASA
17,091/41/02,DEWAN STESEN MARDI MUADZAM SHAH,1,242,56,33,150,239,3,0,BUKIT RIDAN,UNDI BIASA
18,091/41/03,SK LKTP KERATONG 10,1,307,63,32,204,299,8,0,FELDA KERATONG 10,UNDI BIASA
18,091/41/03,SK LKTP KERATONG 10,2,338,75,40,219,334,4,0,FELDA KERATONG 10,UNDI BIASA
18,091/41/03,SK LKTP KERATONG 10,3,320,99,51,165,315,5,0,FELDA KERATONG 10,UNDI BIASA
18,091/41/03,SK LKTP KERATONG 10,4,313,90,38,180,308,5,0,FELDA KERATONG 10,UNDI BIASA
19,091/41/04,SK PERANTAU DAMAI,1,317,80,16,211,307,10,0,FELDA KERATONG 9,UNDI BIASA
19,091/41/04,SK PERANTAU DAMAI,2,395,125,30,228,383,12,0,FELDA KERATONG 9,UNDI BIASA
19,091/41/04,SK PERANTAU DAMAI,3,331,109,36,185,330,1,0,FELDA KERATONG 9,UNDI BIASA
19,091/41/04,SK PERANTAU DAMAI,4,327,120,48,157,325,2,0,FELDA KERATONG 9,UNDI BIASA
19,091/41/04,SK PERANTAU DAMAI,5,330,134,36,157,327,3,0,FELDA KERATONG 9,UNDI BIASA
20,091/41/05,SK LKTP KERATONG 8,1,317,77,23,213,313,2,2,FELDA KERATONG 8,UNDI BIASA
20,091/41/05,SK LKTP KERATONG 8,2,380,103,42,220,365,15,0,FELDA KERATONG 8,UNDI BIASA
20,091/41/05,SK LKTP KERATONG 8,3,344,111,54,178,343,1,0,FELDA KERATONG 8,UNDI BIASA
20,091/41/05,SK LKTP KERATONG 8,4,356,126,63,165,354,2,0,FELDA KERATONG 8,UNDI BIASA
21,091/41/06,SK KEDAIK,1,236,16,61,125,202,34,0,KEDAIK,UNDI BIASA
21,091/41/06,SK KEDAIK,2,320,6,98,190,294,26,0,KEDAIK,UNDI BIASA
21,091/41/06,SK KEDAIK,3,321,5,113,184,302,19,0,KEDAIK,UNDI BIASA
22,091/41/07,BALAI RAYA KAMPUNG GADING,1,284,29,40,201,270,14,0,GADING,UNDI BIASA
22,091/41/07,BALAI RAYA KAMPUNG GADING,2,394,39,66,267,372,22,0,GADING,UNDI BIASA
22,091/41/07,BALAI RAYA KAMPUNG GADING,3,374,36,76,248,360,14,0,GADING,UNDI BIASA
23,091/41/08,SK LEBAN CHONDONG,1,295,31,19,237,287,8,0,LEBAN CHONDONG,UNDI BIASA
23,091/41/08,SK LEBAN CHONDONG,2,508,105,48,346,499,9,0,LEBAN CHONDONG,UNDI BIASA
23,091/41/08,SK LEBAN CHONDONG,3,488,93,71,317,481,7,0,LEBAN CHONDONG,UNDI BIASA
24,091/41/09,SK LKTP KERATONG 6,1,278,35,22,213,270,8,0,FELDA KERATONG 6,UNDI BIASA
24,091/41/09,SK LKTP KERATONG 6,2,338,60,29,246,335,3,0,FELDA KERATONG 6,UNDI BIASA
24,091/41/09,SK LKTP KERATONG 6,3,283,59,43,180,282,1,0,FELDA KERATONG 6,UNDI BIASA
24,091/41/09,SK LKTP KERATONG 6,4,278,64,48,163,275,3,0,FELDA KERATONG 6,UNDI BIASA
24,091/41/09,SK LKTP KERATONG 6,5,290,80,47,162,289,1,0,FELDA KERATONG 6,UNDI BIASA
25,091/41/10,SK CHENDERAWASIH,1,285,37,57,183,277,8,0,CHENDERAWASIH,UNDI BIASA
26,091/41/11,SK LKTP SELANCAR 2,1,310,187,83,26,296,14,0,FELDA SELANCAR,UNDI BIASA
26,091/41/11,SK LKTP SELANCAR 2,2,422,98,42,275,415,6,1,FELDA SELANCAR,UNDI BIASA
26,091/41/11,SK LKTP SELANCAR 2,3,387,114,39,229,382,5,0,FELDA SELANCAR,UNDI BIASA
26,091/41/11,SK LKTP SELANCAR 2,4,335,115,64,154,333,2,0,FELDA SELANCAR,UNDI BIASA
26,091/41/11,SK LKTP SELANCAR 2,5,336,113,69,153,335,1,0,FELDA SELANCAR,UNDI BIASA
26,091/41/11,SK LKTP SELANCAR 2,6,363,112,48,199,359,4,0,FELDA SELANCAR,UNDI BIASA
27,091/41/12,SK LKTP SELANCAR 3,1,325,77,15,221,313,12,0,FELDA SELANCAR 3,UNDI BIASA
27,091/41/12,SK LKTP SELANCAR 3,2,372,111,30,226,367,5,0,FELDA SELANCAR 3,UNDI BIASA
27,091/41/12,SK LKTP SELANCAR 3,3,316,93,61,157,311,5,0,FELDA SELANCAR 3,UNDI BIASA
27,091/41/12,SK LKTP SELANCAR 3,4,323,112,61,147,320,3,0,FELDA SELANCAR 3,UNDI BIASA
28,091/42/01,SK SUNGAI PUTERI,1,299,87,34,168,289,10,0,SUNGAI PUTERI,UNDI BIASA
28,091/42/01,SK SUNGAI PUTERI,2,576,181,65,323,569,7,0,SUNGAI PUTERI,UNDI BIASA
28,091/42/01,SK SUNGAI PUTERI,3,525,175,91,258,524,1,0,SUNGAI PUTERI,UNDI BIASA
28,091/42/01,SK SUNGAI PUTERI,4,518,198,97,211,506,12,0,SUNGAI PUTERI,UNDI BIASA
