Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' HJ MAHFUZ OMAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SAID ALI BIN SYED RASTAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) RADHI MAT DIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
53,2008/11/11,"SEKOLAH KEBANGSAAN CONVENT, ALOR SETAR",2,572,316,139,112,567,5,0,TAMAN NURI,UNDI BIASA
53,2008/11/11,"SEKOLAH KEBANGSAAN CONVENT, ALOR SETAR",3,486,296,73,116,485,1,0,TAMAN NURI,UNDI BIASA
53,2008/11/11,"SEKOLAH KEBANGSAAN CONVENT, ALOR SETAR",4,500,300,78,121,499,1,0,TAMAN NURI,UNDI BIASA
53,2008/11/11,"SEKOLAH KEBANGSAAN CONVENT, ALOR SETAR",5,522,316,82,124,522,0,0,TAMAN NURI,UNDI BIASA
54,2008/11/12,"SEKOLAH KEBANGSAAN JALAN DATUK KUMBAR, ALOR SETAR",1,269,127,76,58,261,8,0,TAMAN INTAN,UNDI BIASA
54,2008/11/12,"SEKOLAH KEBANGSAAN JALAN DATUK KUMBAR, ALOR SETAR",2,479,265,89,121,475,4,0,TAMAN INTAN,UNDI BIASA
54,2008/11/12,"SEKOLAH KEBANGSAAN JALAN DATUK KUMBAR, ALOR SETAR",3,458,265,72,118,455,3,0,TAMAN INTAN,UNDI BIASA
54,2008/11/12,"SEKOLAH KEBANGSAAN JALAN DATUK KUMBAR, ALOR SETAR",4,418,256,45,113,414,4,0,TAMAN INTAN,UNDI BIASA
54,2008/11/12,"SEKOLAH KEBANGSAAN JALAN DATUK KUMBAR, ALOR SETAR",5,432,249,56,127,432,0,0,TAMAN INTAN,UNDI BIASA
55,2008/11/13,"SEKOLAH KEBANGSAAN ALOR SETAR, JALAN LANGGAR",1,260,105,55,93,253,7,0,TANJUNG SERI,UNDI BIASA
55,2008/11/13,"SEKOLAH KEBANGSAAN ALOR SETAR, JALAN LANGGAR",2,462,197,66,195,458,4,0,TANJUNG SERI,UNDI BIASA
55,2008/11/13,"SEKOLAH KEBANGSAAN ALOR SETAR, JALAN LANGGAR",3,394,185,41,164,390,4,0,TANJUNG SERI,UNDI BIASA
56,2008/11/14,"SEKOLAH RENDAH ISLAM ALOR SETAR, JALAN DATUK KUMBAR",1,292,163,85,27,275,17,0,TAMAN DERGA JAYA,UNDI BIASA
56,2008/11/14,"SEKOLAH RENDAH ISLAM ALOR SETAR, JALAN DATUK KUMBAR",2,635,393,154,85,632,3,0,TAMAN DERGA JAYA,UNDI BIASA
56,2008/11/14,"SEKOLAH RENDAH ISLAM ALOR SETAR, JALAN DATUK KUMBAR",3,596,431,94,69,594,2,0,TAMAN DERGA JAYA,UNDI BIASA
56,2008/11/14,"SEKOLAH RENDAH ISLAM ALOR SETAR, JALAN DATUK KUMBAR",4,522,374,77,69,520,2,0,TAMAN DERGA JAYA,UNDI BIASA
56,2008/11/14,"SEKOLAH RENDAH ISLAM ALOR SETAR, JALAN DATUK KUMBAR",5,535,356,70,107,533,2,0,TAMAN DERGA JAYA,UNDI BIASA
