Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KHAIRUDDIN ABU HASSAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ABD. ALIM SHAPIE,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATUK SERI HAJI AHMAD HAMZAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
25,139/26/01,SEKOLAH KEBANGSAAN BUKIT TEMBAKAU,4,423,144,100,171,415,8,0,BUKIT TEMBAKAU ,UNDI BIASA
26,139/26/02,SEKOLAH KEBANGSAAN DATUK HAJI BAGINDA,1,303,34,75,185,294,9,0,UMBAI ,UNDI BIASA
26,139/26/02,SEKOLAH KEBANGSAAN DATUK HAJI BAGINDA,2,539,98,148,278,524,15,0,UMBAI ,UNDI BIASA
26,139/26/02,SEKOLAH KEBANGSAAN DATUK HAJI BAGINDA,3,502,152,121,229,502,0,0,UMBAI ,UNDI BIASA
26,139/26/02,SEKOLAH KEBANGSAAN DATUK HAJI BAGINDA,4,476,148,113,206,467,9,0,UMBAI ,UNDI BIASA
27,139/26/03,SEKOLAH JENIS KEBANGSAAN (CINA) KUANG HWA,1,309,67,55,182,304,5,0,ANJUNG BATU ,UNDI BIASA
27,139/26/03,SEKOLAH JENIS KEBANGSAAN (CINA) KUANG HWA,2,612,240,133,233,606,6,0,ANJUNG BATU ,UNDI BIASA
27,139/26/03,SEKOLAH JENIS KEBANGSAAN (CINA) KUANG HWA,3,580,241,147,188,576,3,1,ANJUNG BATU ,UNDI BIASA
27,139/26/03,SEKOLAH JENIS KEBANGSAAN (CINA) KUANG HWA,4,577,239,141,195,575,2,0,ANJUNG BATU ,UNDI BIASA
28,139/26/04,SEKOLAH MENENGAH ARAB ASSAIYIDAH KHADIJAH,1,301,79,41,172,292,9,0,SERKAM DARAT ,UNDI BIASA
