Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) AMINUR SHAFIQ,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) YOO WEI HOW,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CHAN MING KAI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
26,009/13/09,"SEKOLAH JENIS KEBANGSAAN (CINA) KEAT HWA (S), KAMPUNG BARU",2,249,1,26,220,247,2,0,PENGKALAN,UNDI BIASA
26,009/13/09,"SEKOLAH JENIS KEBANGSAAN (CINA) KEAT HWA (S), KAMPUNG BARU",3,378,8,38,327,373,5,0,PENGKALAN,UNDI BIASA
27,009/13/10,"SEKOLAH KEBANGSAAN SEBERANG PERAK SEBERANG PERAK, JALAN",1,259,17,52,179,248,11,0,JALAN SEBERANG PERAK,UNDI BIASA
27,009/13/10,"SEKOLAH KEBANGSAAN SEBERANG PERAK SEBERANG PERAK, JALAN",2,404,73,63,260,396,8,0,JALAN SEBERANG PERAK,UNDI BIASA
28,009/13/11,"SEKOLAH MENENGAH KEAT HWA (PERSENDIRIAN), TAMAN SULTAN BADLISHAH",1,271,27,49,194,270,1,0,TAMAN BAHAGIA,UNDI BIASA
28,009/13/11,"SEKOLAH MENENGAH KEAT HWA (PERSENDIRIAN), TAMAN SULTAN BADLISHAH",2,388,28,54,304,386,2,0,TAMAN BAHAGIA,UNDI BIASA
28,009/13/11,"SEKOLAH MENENGAH KEAT HWA (PERSENDIRIAN), TAMAN SULTAN BADLISHAH",3,373,62,23,285,370,3,0,TAMAN BAHAGIA,UNDI BIASA
29,009/13/12,"SEKOLAH MENENGAH KEAT HWA (PERSENDIRIAN), TAMAN SULTAN BADLISHAH",4,267,39,59,166,264,3,0,KOTA TANAH,UNDI BIASA
29,009/13/12,"SEKOLAH MENENGAH KEAT HWA (PERSENDIRIAN), TAMAN SULTAN BADLISHAH",5,317,44,43,230,317,0,0,KOTA TANAH,UNDI BIASA
30,009/13/13,"SEKOLAH KEBANGSAAN SG KOROK LAMA, PERSIARAN SULTAN ABDUL HAMID",1,522,58,102,355,515,7,0,KAMPUNG PIEW,UNDI BIASA
31,009/13/14,"MAKTAB MAHMUD PUTERI, PERSIARAN SULTAN ABDUL HAMID",1,263,16,62,184,262,1,0,JALAN PEGAWAI,UNDI BIASA
31,009/13/14,"MAKTAB MAHMUD PUTERI, PERSIARAN SULTAN ABDUL HAMID",2,309,39,35,232,306,3,0,JALAN PEGAWAI,UNDI BIASA
32,009/13/15,"SEKOLAH KEBANGSAAN JALAN PEGAWAI, PERSIARAN SULTAN ABDUL HAMID",1,277,14,72,188,274,3,0,SUNGAI KOROK,UNDI BIASA
32,009/13/15,"SEKOLAH KEBANGSAAN JALAN PEGAWAI, PERSIARAN SULTAN ABDUL HAMID",2,415,44,70,299,413,2,0,SUNGAI KOROK,UNDI BIASA
32,009/13/15,"SEKOLAH KEBANGSAAN JALAN PEGAWAI, PERSIARAN SULTAN ABDUL HAMID",3,376,81,65,229,375,1,0,SUNGAI KOROK,UNDI BIASA
33,009/13/16,"SEKOLAH JENIS KEBANGSAAN (CINA) SIN MIN, LEBUHRAYA SULTAN ABDUL HALIM",1,420,58,109,241,408,12,0,KAMPUNG TELOK,UNDI BIASA
34,009/13/17,MAKTAB MAHMUD ALOR SETAR,1,244,8,56,175,239,5,0,BANDAR SIMPANG KUALA,UNDI BIASA
34,009/13/17,MAKTAB MAHMUD ALOR SETAR,2,469,21,85,361,467,2,0,BANDAR SIMPANG KUALA,UNDI BIASA
34,009/13/17,MAKTAB MAHMUD ALOR SETAR,3,437,58,61,318,437,0,0,BANDAR SIMPANG KUALA,UNDI BIASA
35,009/13/18,"SEKOLAH JENIS KEBANGSAAN (CINA) SIN MIN, LEBUHRAYA SULTAN ABDUL HALIM",2,301,21,76,198,295,6,0,RUMAH PANGSA SIMPANG KUALA,UNDI BIASA
35,009/13/18,"SEKOLAH JENIS KEBANGSAAN (CINA) SIN MIN, LEBUHRAYA SULTAN ABDUL HALIM",3,418,34,75,308,417,1,0,RUMAH PANGSA SIMPANG KUALA,UNDI BIASA
35,009/13/18,"SEKOLAH JENIS KEBANGSAAN (CINA) SIN MIN, LEBUHRAYA SULTAN ABDUL HALIM",4,374,54,49,270,373,1,0,RUMAH PANGSA SIMPANG KUALA,UNDI BIASA
36,009/13/19,"WISMA LUNG KONG, LEBUHRAYA SULTAN ABDUL HALIM",1,262,29,82,147,258,4,0,KAMPUNG PEGAWAI,UNDI BIASA
36,009/13/19,"WISMA LUNG KONG, LEBUHRAYA SULTAN ABDUL HALIM",2,288,61,66,160,287,1,0,KAMPUNG PEGAWAI,UNDI BIASA
37,009/13/20,"SEKOLAH MENENGAH KEBANGSAAN ST MICHAEL, ALOR SETAR",4,475,55,106,305,466,9,0,JALAN STESYEN,UNDI BIASA
38,009/13/21,"SEKOLAH JENIS KEBANGSAAN (CINA) PENG MIN, SIMPANG KUALA",1,270,14,43,209,266,4,0,TAMAN BEE BEE,UNDI BIASA
38,009/13/21,"SEKOLAH JENIS KEBANGSAAN (CINA) PENG MIN, SIMPANG KUALA",2,534,30,71,431,532,2,0,TAMAN BEE BEE,UNDI BIASA
38,009/13/21,"SEKOLAH JENIS KEBANGSAAN (CINA) PENG MIN, SIMPANG KUALA",3,511,52,52,397,501,10,0,TAMAN BEE BEE,UNDI BIASA
39,009/13/22,"SEKOLAH KEBANGSAAN SEBERANG PERAK BARU, JALAN BUNGA RAYA",1,251,26,70,141,237,14,0,TONGKANG YARD,UNDI BIASA
39,009/13/22,"SEKOLAH KEBANGSAAN SEBERANG PERAK BARU, JALAN BUNGA RAYA",2,419,68,113,236,417,2,0,TONGKANG YARD,UNDI BIASA
39,009/13/22,"SEKOLAH KEBANGSAAN SEBERANG PERAK BARU, JALAN BUNGA RAYA",3,363,94,61,200,355,8,0,TONGKANG YARD,UNDI BIASA
40,009/14/01,"SEKOLAH KEBANGSAAN KAMPONG GELAM, JALAN DATUK KUMBAR",1,284,123,99,54,276,8,0,KAMPUNG GELAM,UNDI BIASA
40,009/14/01,"SEKOLAH KEBANGSAAN KAMPONG GELAM, JALAN DATUK KUMBAR",2,485,239,133,107,479,6,0,KAMPUNG GELAM,UNDI BIASA
40,009/14/01,"SEKOLAH KEBANGSAAN KAMPONG GELAM, JALAN DATUK KUMBAR",3,441,245,77,114,436,5,0,KAMPUNG GELAM,UNDI BIASA
40,009/14/01,"SEKOLAH KEBANGSAAN KAMPONG GELAM, JALAN DATUK KUMBAR",4,454,234,92,123,449,5,0,KAMPUNG GELAM,UNDI BIASA
41,009/14/02,"SEKOLAH KEBANGSAAN ALOR MELINTANG, JALAN DATUK KUMBAR",1,303,83,143,61,287,16,0,ALOR MELINTANG,UNDI BIASA
41,009/14/02,"SEKOLAH KEBANGSAAN ALOR MELINTANG, JALAN DATUK KUMBAR",2,488,211,172,100,483,5,0,ALOR MELINTANG,UNDI BIASA
41,009/14/02,"SEKOLAH KEBANGSAAN ALOR MELINTANG, JALAN DATUK KUMBAR",3,432,197,129,105,431,1,0,ALOR MELINTANG,UNDI BIASA
42,009/14/03,"SEKOLAH KEBANGSAAN HJ IDRIS TAJAR, LANGGAR",1,296,140,111,38,289,7,0,TITI HAJI IDRIS,UNDI BIASA
