Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HAJI RAFIEI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HASAN BIN MALEK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) EDDIN SYAZLEE SHITH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
32,129/17/04,SEKOLAH KEBANGSAAN SUNGAI DUA,1.0,282,30,188,53,271,11,0,KAMPONG SUNGAI DUA ,UNDI BIASA
32,129/17/04,SEKOLAH KEBANGSAAN SUNGAI DUA,2.0,297,37,138,120,295,1,1,KAMPONG SUNGAI DUA ,UNDI BIASA
32,129/17/04,SEKOLAH KEBANGSAAN SUNGAI DUA,3.0,283,44,126,113,283,0,0,KAMPONG SUNGAI DUA ,UNDI BIASA
33,129/17/05,BALAI RAYA TAMAN CITAJAYA,1.0,272,6,114,145,265,7,0,KAMPONG KUALA DIOH ,UNDI BIASA
33,129/17/05,BALAI RAYA TAMAN CITAJAYA,2.0,395,30,125,235,390,5,0,KAMPONG KUALA DIOH ,UNDI BIASA
33,129/17/05,BALAI RAYA TAMAN CITAJAYA,3.0,338,46,114,177,337,1,0,KAMPONG KUALA DIOH ,UNDI BIASA
34,129/17/06,DEWAN MINDA KAMPUNG SAWAH LEBAR,1.0,247,20,97,126,243,4,0,SAWAH LEBAR ,UNDI BIASA
35,129/17/07,SEKOLAH JENIS KEBANGSAAN (TAMIL) KUALA PILAH,2.0,263,14,89,148,251,12,0,KAMPONG DIOH ,UNDI BIASA
35,129/17/07,SEKOLAH JENIS KEBANGSAAN (TAMIL) KUALA PILAH,3.0,533,51,145,330,526,7,0,KAMPONG DIOH ,UNDI BIASA
36,129/17/08,SEKOLAH JENIS KEBANGSAAN (TAMIL) KUALA PILAH,1.0,309,19,68,218,305,4,0,TEBAT KERING ,UNDI BIASA
37,129/17/09,SEKOLAH KEBANGSAAN SENALING,1.0,293,13,133,134,280,13,0,SENALING ,UNDI BIASA
37,129/17/09,SEKOLAH KEBANGSAAN SENALING,2.0,312,20,127,156,303,8,1,SENALING ,UNDI BIASA
